"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3356","add two products to cart","webkit","Thu Aug 21 00:08:37 GMT+07:00 2025","passed","Thu Aug 21 00:08:40 GMT+07:00 2025","Add to Cart","dashboard\dashboard.test.ts","",""
"","5318","remove if cart have a product","webkit","Thu Aug 21 00:08:29 GMT+07:00 2025","passed","Thu Aug 21 00:08:34 GMT+07:00 2025","Remove from cart","cart\cart.test.ts","",""
"","4697","remove if cart have multiple products","webkit","Thu Aug 21 00:08:34 GMT+07:00 2025","passed","Thu Aug 21 00:08:39 GMT+07:00 2025","Remove from cart","cart\cart.test.ts","",""
"","4318","remove all products from cart","webkit","Thu Aug 21 00:08:39 GMT+07:00 2025","passed","Thu Aug 21 00:08:43 GMT+07:00 2025","Remove from cart","cart\cart.test.ts","",""
"","3496","login successfully with fixture","webkit","Thu Aug 21 00:08:32 GMT+07:00 2025","passed","Thu Aug 21 00:08:36 GMT+07:00 2025","Login Tests","login\login.test.ts","",""
"","3037","login page is displayed","webkit","Thu Aug 21 00:08:29 GMT+07:00 2025","passed","Thu Aug 21 00:08:32 GMT+07:00 2025","Login Tests","login\login.test.ts","",""
"","3253","cannot add to cart a product that is already in the cart","webkit","Thu Aug 21 00:08:34 GMT+07:00 2025","passed","Thu Aug 21 00:08:37 GMT+07:00 2025","Add to Cart","dashboard\dashboard.test.ts","",""
"","2038","sort products by name (Z to A)","webkit","Thu Aug 21 00:08:42 GMT+07:00 2025","passed","Thu Aug 21 00:08:44 GMT+07:00 2025","Sorting Products","dashboard\dashboard.test.ts","",""
"","2538","sort products by price (high to low)","webkit","Thu Aug 21 00:08:48 GMT+07:00 2025","failed","Thu Aug 21 00:08:51 GMT+07:00 2025","Sorting Products","dashboard\dashboard.test.ts","",""
"","1857","sort products by name (A to Z)","webkit","Thu Aug 21 00:08:40 GMT+07:00 2025","passed","Thu Aug 21 00:08:42 GMT+07:00 2025","Sorting Products","dashboard\dashboard.test.ts","",""
"","2582","sort products by price (low to high)","webkit","Thu Aug 21 00:08:44 GMT+07:00 2025","failed","Thu Aug 21 00:08:47 GMT+07:00 2025","Sorting Products","dashboard\dashboard.test.ts","",""
"","4288","add to cart successfully","webkit","Thu Aug 21 00:08:29 GMT+07:00 2025","passed","Thu Aug 21 00:08:33 GMT+07:00 2025","Add to Cart","dashboard\dashboard.test.ts","",""
